,epoch,batch,train_epoch_loss_avg_over_batch,train_acc,train_acc_clean_only,train_asr_bd_only,train_ra_bd_only,clean_test_loss_avg_over_batch,bd_test_loss_avg_over_batch,test_acc,test_asr,test_ra
18,18,390,0.3263400627634464,0.8969551282051282,0.9278400997150997,0.6189903846153846,0.4360977564102564,0.4999444963811319,0.30347025919128473,0.8523,0.9197777777777778,0.07077777777777777
19,19,390,0.3187294167203781,0.9005408653846154,0.931269336063567,0.6239230615107193,0.43257864155479864,0.3990616568281681,0.15854948858769846,0.8779,0.9552222222222222,0.04122222222222222
20,20,390,0.3026127434311769,0.9057091346153846,0.9371021589138661,0.6230460921843687,0.4344689378757515,0.5155985819388039,0.1568921999874669,0.8559,0.9498888888888889,0.04511111111111111
21,21,390,0.29355997148996743,0.9077924679487179,0.9384848215080566,0.6313151563753007,0.4282277465918204,0.4310689215795903,0.1253838751917626,0.8737,0.9627777777777777,0.035
22,22,390,0.2837243479413864,0.9115184294871795,0.942754123172116,0.6303346022841114,0.4299739531156081,0.4105058095500439,0.26134501827854506,0.8826,0.938,0.05677777777777778
23,23,390,0.2780046611642226,0.9139623397435898,0.9463844561661214,0.6219683303267188,0.4353577871316897,0.5965113183365592,0.10535340883742861,0.8442,0.9681111111111111,0.029444444444444443
24,24,390,0.266861709799522,0.9171073717948718,0.9484485598539821,0.6351621946335603,0.4223067681217461,0.36242582271747953,0.14309150782663008,0.8952,0.96,0.03744444444444445
25,25,390,0.2597866015556531,0.9196113782051282,0.9520089037284363,0.6282282282282282,0.43303303303303303,0.4048474076427991,0.14254060613227562,0.8883,0.9555555555555556,0.04077777777777778
26,26,390,0.2576880945609166,0.9204727564102564,0.9523205342237062,0.634034034034034,0.42802802802802803,0.41171921978268444,0.12114537696183568,0.8867,0.9585555555555556,0.03855555555555556
27,27,390,0.24525437586200544,0.9238581730769231,0.9553092519641228,0.6406093405492083,0.423331328923632,0.37351835500213165,0.2012761866962406,0.8962,0.9457777777777778,0.049555555555555554
28,28,390,0.2445923791290858,0.9234775641025641,0.9569794355915606,0.621692060946271,0.43684843624699277,0.42574521729463266,0.21089316962260596,0.8818,0.9396666666666667,0.055
29,29,390,0.2328887481528979,0.9286858974358975,0.9615435972760048,0.6325711993582029,0.428600080224629,0.34389994981922684,0.30150514232440734,0.9009,0.9253333333333333,0.07055555555555555
30,30,390,0.22935166706641516,0.9280849358974359,0.9607799492498775,0.6339607529034842,0.42110532639167,0.4003037414218806,0.09733853452432324,0.8921,0.9661111111111111,0.03233333333333333
31,31,390,0.219647173392467,0.9320512820512821,0.9641219675050078,0.6432865731462926,0.41723446893787575,0.3912018361159518,0.08310179688072514,0.8982,0.9698888888888889,0.028666666666666667
32,32,390,0.22271106424622047,0.9310096153846154,0.9644987535612536,0.6296073717948718,0.4326923076923077,0.3611130771003192,0.1278030859621268,0.8979,0.9592222222222222,0.03855555555555556
33,33,390,0.21315650248374696,0.9349759615384615,0.9681267806267806,0.6366185897435898,0.42728365384615385,0.36835601510880867,0.10296334137379283,0.9002,0.9617777777777777,0.03611111111111111
